module,function,timing,time
[SDAP],sdap_data_req,start,5355249466 
[SDAP],nr_sdap_tx_entity,start,5355249622 
[PDCP],nr_pdcp_data_req_drb,start,5355249672 
[PDCP],deliver_pdu_drb_gnb,start,5355249679 
[PDCP],enqueue_rlc_data_req,start,5355249687 
[PDCP],enqueue_rlc_data_req,end,5355249693 
[PDCP],deliver_pdu_drb_gnb,end,5355249695 
[PDCP],nr_pdcp_data_req_drb,end,5355249786 
[SDAP],nr_sdap_tx_entity,end,5355249788 
[SDAP],sdap_data_req,end,5355249790 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355250078 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355250094 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355250264 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355250270 
[RLC],generate_tx_pdu,start,5355250273 
[RLC],serialize_sdu,start,5355250276 
[RLC],serialize_sdu,end,5355250280 
[RLC],generate_tx_pdu,end,5355250282 
[SDAP],sdap_data_req,start,5355421080 
[SDAP],nr_sdap_tx_entity,start,5355421100 
[PDCP],nr_pdcp_data_req_drb,start,5355421105 
[PDCP],deliver_pdu_drb_gnb,start,5355421113 
[PDCP],enqueue_rlc_data_req,start,5355421121 
[PDCP],enqueue_rlc_data_req,end,5355421127 
[PDCP],deliver_pdu_drb_gnb,end,5355421129 
[PDCP],nr_pdcp_data_req_drb,end,5355421137 
[SDAP],nr_sdap_tx_entity,end,5355421139 
[SDAP],sdap_data_req,end,5355421141 
[SDAP],sdap_data_req,start,5355421375 
[SDAP],nr_sdap_tx_entity,start,5355421418 
[PDCP],nr_pdcp_data_req_drb,start,5355421515 
[PDCP],deliver_pdu_drb_gnb,start,5355421527 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355421523 
[PDCP],enqueue_rlc_d2ata_req,start,5355421617 
[PDCP],enqueue_rlc_data_req,end,5355421619 
[PDCP],deliver_pdu_drb_gnb,end,5355421636 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355421634 
[PDCP],nr_pdcp_data_req_drb,end,5355421638 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355421642 
[SDAP],nr_sdap_tx_entity,end,5355421644 
[SDAP],sdap_data_req,end,5355421647 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355421652 
[SDAP],sdap_data_req,start,5355421721 
[SDAP],nr_sdap_tx_entity,start,5355421723 
[PDCP],nr_pdcp_data_req_drb,start,5355421725 
[PDCP],deliver_pdu_drb_gnb,start,5355421736 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355421734 
[PDCP],enqueue_rlc_data_req,start,5355421739 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355421744 
[PDCP],enqueue_rlc_data_req,end,5355421750 
[RLC],generate_tx_pdu,start,5355421752 
[PDCP],deliver_pdu_drb_gnb,end,5355421755 
[RLC],serialize_sdu,start,5355421758 
[PDCP],nr_pdcp_data_req_drb,end,5355421760 
[RLC],serialize_sdu,end,5355421768 
[SDAP],nr_sdap_tx_entity,end,5355421771 
[RLC],generate_tx_pdu,end,5355421773 
[SDAP],sdap_data_req,end,5355421775 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355421779 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355421781 
[SDAP],sdap_data_req,start,5355421788 
[RLC],generate_tx_pdu,start,5355421789 
[SDAP],nr_sdap_tx_entity,start,5355421792 
[RLC],serialize_sdu,start,5355421794 
[PDCP],nr_pdcp_data_req_drb,start,5355421796 
[RLC],serialize_sdu,end,5355421799 
[PDCP],deliver_pdu_drb_gnb,start,5355421801 
[RLC],generate_tx_pdu,end,5355421803 
[PDCP],enqueue_rlc_data_req,start,5355421805 
[PDCP],enqueue_rlc_data_req,end,5355421807 
[PDCP],deliver_pdu_drb_gnb,end,5355421809 
[PDCP],nr_pdcp_data_req_drb,end,5355421813 
[SDAP],nr_sdap_tx_entity,end,5355421815 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355421812 
[SDAP],sdap_data_req,end,5355421817 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355421825 
[SDAP],sdap_data_req,start,5355421830 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355421833 
[SDAP],nr_sdap_tx_entity,start,5355421835 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355421838 
[PDCP],nr_pdcp_data_req_drb,start,5355421841 
[PDCP],deliver_pdu_drb_gnb,start,5355421847 
[PDCP],enqueue_rlc_data_req,start,5355421849 
[PDCP],enqueue_rlc_data_req,end,5355421877 
[PDCP],deliver_pdu_drb_gnb,end,5355421882 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355421885 
[PDCP],nr_pdcp_data_req_drb,end,5355421886 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355421890 
[SDAP],nr_sdap_tx_entity,end,5355421893 
[SDAP],sdap_data_req,end,5355421898 
[SDAP],sdap_data_req,start,5355421971 
[SDAP],nr_sdap_tx_entity,start,5355421976 
[PDCP],nr_pdcp_data_req_drb,start,5355421979 
[PDCP],deliver_pdu_drb_gnb,start,5355421985 
[PDCP],enqueue_rlc_data_req,start,5355421989 
[PDCP],enqueue_rlc_data_req,end,5355421994 
[PDCP],deliver_pdu_drb_gnb,end,5355421996 
[PDCP],nr_pdcp_data_req_drb,end,5355421999 
[SDAP],nr_sdap_tx_entity,end,5355422001 
[SDAP],sdap_data_req,end,5355422002 
[SDAP],sdap_data_req,start,5355422128 
[SDAP],nr_sdap_tx_entity,start,5355422172 
[PDCP],nr_pdcp_data_req_drb,start,5355422175 
[PDCP],deliver_pdu_drb_gnb,start,5355422177 
[PDCP],enqueue_rlc_data_req,start,5355422180 
[PDCP],enqueue_rlc_data_req,end,5355422228 
[PDCP],deliver_pdu_drb_gnb,end,5355422229 
[PDCP],nr_pdcp_data_req_drb,end,5355422231 
[SDAP],nr_sdap_tx_entity,end,5355422233 
[SDAP],sdap_data_req,end,5355422235 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355422124 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355422426 
[RLC],nr_rlc_entity_am_recv_sdu,start,5355422429 
[RLC],nr_rlc_entity_am_recv_sdu,end,5355422432 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355422587 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355422596 
[RLC],generate_tx_pdu,start,5355422599 
[RLC],serialize_sdu,start,5355422602 
[RLC],serialize_sdu,end,5355422622 
[RLC],generate_tx_pdu,end,5355422625 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355422627 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355422645 
[RLC],generate_tx_pdu,start,5355422648 
[RLC],serialize_sdu,start,5355422650 
[RLC],serialize_sdu,end,5355422653 
[RLC],generate_tx_pdu,end,5355422655 
[RLC],nr_rlc_entity_am_generate_pdu,start,5355422658 
[RLC],nr_rlc_entity_am_generate_pdu,end,5355422660 
