module,function,timing,time
[SDAP],sdap_data_req,start,159060014 
[SDAP],nr_sdap_tx_entity,start,159060066 
[PDCP],nr_pdcp_data_req_drb,start,159060077 
[PDCP],deliver_pdu_drb_gnb,start,159060085 
[PDCP],enqueue_rlc_data_req,start,159060268 
[PDCP],enqueue_rlc_data_req,end,159060302 
[PDCP],deliver_pdu_drb_gnb,end,159060314 
[RLC],rlc_data_req_thread,start,159060314 
[PDCP],nr_pdcp_data_req_drb,end,159060319 
[RLC],rlc_data_req,start,159060340 
[SDAP],nr_sdap_tx_entity,end,159060360 
[SDAP],sdap_data_req,end,159060839 
[RLC],nr_rlc_entity_am_recv_sdu,start,159060855 
[RLC],nr_rlc_entity_am_recv_sdu,end,159060971 
[RLC],rlc_data_req,end,159060980 
[RLC],rlc_data_req_thread,end,159060991 
[RLC],nr_rlc_entity_am_generate_pdu,start,159061000 
[RLC],nr_rlc_entity_am_generate_pdu,end,159061018 
[RLC],generate_tx_pdu,start,159061024 
[RLC],serialize_sdu,start,159061030 
[RLC],serialize_sdu,end,159061036 
[RLC],generate_tx_pdu,end,159061041 
[SDAP],sdap_data_req,start,159236573 
[SDAP],nr_sdap_tx_entity,start,159236837 
[PDCP],nr_pdcp_data_req_drb,start,159236845 
[PDCP],deliver_pdu_drb_gnb,start,159236853 
[PDCP],enqueue_rlc_data_req,start,159236902 
[PDCP],enqueue_rlc_data_req,end,159236962 
[PDCP],deliver_pdu_drb_gnb,end,159236972 
[RLC],rlc_data_req_thread,start,159236966 
[PDCP],nr_pdcp_data_req_drb,end,159236978 
[SDAP],nr_sdap_tx_entity,end,159237187 
[SDAP],sdap_data_req,end,159237194 
[RLC],rlc_data_req,start,159237167 
[RLC],nr_rlc_entity_am_recv_sdu,start,159237345 
[RLC],nr_rlc_entity_am_recv_sdu,end,159237508 
[RLC],rlc_data_req,end,159237516 
[RLC],rlc_data_req_thread,end,159237521 
[RLC],nr_rlc_entity_am_generate_pdu,start,159237580 
[RLC],nr_rlc_entity_am_generate_pdu,end,159237598 
[RLC],generate_tx_pdu,start,159237606 
[RLC],serialize_sdu,start,159237613 
[RLC],serialize_sdu,end,159237619 
[RLC],generate_tx_pdu,end,159237680 
[RLC],Fatal: no RB found (channel ID 30 RNTI 1446)
[NR_MAC],In nr_process_mac_pdu: residual UL MAC PDU in 405.17 with length < 0!, pdu_len -76 
[NR_MAC]
[SDAP],sdap_data_req,start,159414136 
[SDAP],nr_sdap_tx_entity,start,159414244 
[PDCP],nr_pdcp_data_req_drb,start,159414258 
[PDCP],deliver_pdu_drb_gnb,start,159414265 
[PDCP],enqueue_rlc_data_req,start,159414337 
[PDCP],enqueue_rlc_data_req,end,159414345 
[PDCP],deliver_pdu_drb_gnb,end,159414350 
[RLC],rlc_data_req_thread,start,159414357 
[PDCP],nr_pdcp_data_req_drb,end,159414363 
[SDAP],nr_sdap_tx_entity,end,159414445 
[SDAP],sdap_data_req,end,159414451 
[RLC],rlc_data_req,start,159414382 
[RLC],nr_rlc_entity_am_recv_sdu,start,159414487 
[RLC],nr_rlc_entity_am_recv_sdu,end,159414510 
[RLC],nr_rlc_entity_am_generate_pdu,start,159414702 
[RLC],rlc_data_req,end,159414517 
[RLC],nr_rlc_entity_am_generate_pdu,end,159414720 
[RLC],rlc_data_req_thread,end,159414738 
[RLC],generate_tx_pdu,start,159414789 
[RLC],serialize_sdu,start,159414812 
[RLC],serialize_sdu,end,159414819 
[RLC],generate_tx_pdu,end,159414825 
[NR_MAC],pdu_len 2 is invalid (shorter than MAC PDU header)
[SDAP],sdap_data_req,start,159591240 
[SDAP],nr_sdap_tx_entity,start,159591290 
[PDCP],nr_pdcp_data_req_drb,start,159591304 
[PDCP],deliver_pdu_drb_gnb,start,159591547 
[PDCP],enqueue_rlc_data_req,start,159591648 
[PDCP],enqueue_rlc_data_req,end,159591733 
[PDCP],deliver_pdu_drb_gnb,end,159591751 
[RLC],rlc_data_req_thread,start,159591745 
